"date","people_vaccinated","population","vaccination_percentage","vaccination_status"
"2020-06-07",NULL,"36910558",NULL,"Low"
"2020-06-08",NULL,"36910558",NULL,"Low"
"2020-06-09",NULL,"36910558",NULL,"Low"
"2020-06-10",NULL,"36910558",NULL,"Low"
"2020-06-11",NULL,"36910558",NULL,"Low"
"2020-06-12",NULL,"36910558",NULL,"Low"
"2020-06-13",NULL,"36910558",NULL,"Low"
"2020-06-14",NULL,"36910558",NULL,"Low"
"2020-06-15",NULL,"36910558",NULL,"Low"
"2020-06-16",NULL,"36910558",NULL,"Low"
"2020-06-17",NULL,"36910558",NULL,"Low"
"2020-06-18",NULL,"36910558",NULL,"Low"
"2020-06-19",NULL,"36910558",NULL,"Low"
"2020-06-20",NULL,"36910558",NULL,"Low"
"2020-06-21",NULL,"36910558",NULL,"Low"
"2020-06-22",NULL,"36910558",NULL,"Low"
"2020-06-23",NULL,"36910558",NULL,"Low"
"2020-06-24",NULL,"36910558",NULL,"Low"
"2020-06-25",NULL,"36910558",NULL,"Low"
"2020-06-26",NULL,"36910558",NULL,"Low"
"2020-06-27",NULL,"36910558",NULL,"Low"
"2020-06-28",NULL,"36910558",NULL,"Low"
"2020-06-29",NULL,"36910558",NULL,"Low"
"2020-06-30",NULL,"36910558",NULL,"Low"
"2020-07-01",NULL,"36910558",NULL,"Low"
"2020-07-02",NULL,"36910558",NULL,"Low"
"2020-07-03",NULL,"36910558",NULL,"Low"
"2020-07-04",NULL,"36910558",NULL,"Low"
"2020-07-05",NULL,"36910558",NULL,"Low"
"2020-07-06",NULL,"36910558",NULL,"Low"
"2020-07-07",NULL,"36910558",NULL,"Low"
"2020-07-08",NULL,"36910558",NULL,"Low"
"2020-07-09",NULL,"36910558",NULL,"Low"
"2020-07-10",NULL,"36910558",NULL,"Low"
"2020-07-11",NULL,"36910558",NULL,"Low"
"2020-07-12",NULL,"36910558",NULL,"Low"
"2020-07-13",NULL,"36910558",NULL,"Low"
"2020-07-14",NULL,"36910558",NULL,"Low"
"2020-07-15",NULL,"36910558",NULL,"Low"
"2020-07-16",NULL,"36910558",NULL,"Low"
"2020-07-17",NULL,"36910558",NULL,"Low"
"2020-07-18",NULL,"36910558",NULL,"Low"
"2020-07-19",NULL,"36910558",NULL,"Low"
"2020-07-20",NULL,"36910558",NULL,"Low"
"2020-07-21",NULL,"36910558",NULL,"Low"
"2020-07-22",NULL,"36910558",NULL,"Low"
"2020-07-23",NULL,"36910558",NULL,"Low"
"2020-07-24",NULL,"36910558",NULL,"Low"
"2020-07-25",NULL,"36910558",NULL,"Low"
"2020-07-26",NULL,"36910558",NULL,"Low"
"2020-07-27",NULL,"36910558",NULL,"Low"
"2020-07-28",NULL,"36910558",NULL,"Low"
"2020-07-29",NULL,"36910558",NULL,"Low"
"2020-07-30",NULL,"36910558",NULL,"Low"
"2020-07-31",NULL,"36910558",NULL,"Low"
"2020-08-01",NULL,"36910558",NULL,"Low"
"2020-08-02",NULL,"36910558",NULL,"Low"
"2020-08-03",NULL,"36910558",NULL,"Low"
"2020-08-04",NULL,"36910558",NULL,"Low"
"2020-08-05",NULL,"36910558",NULL,"Low"
"2020-08-06",NULL,"36910558",NULL,"Low"
"2020-08-07",NULL,"36910558",NULL,"Low"
"2020-08-08",NULL,"36910558",NULL,"Low"
"2020-08-09",NULL,"36910558",NULL,"Low"
"2020-08-10",NULL,"36910558",NULL,"Low"
"2020-08-11",NULL,"36910558",NULL,"Low"
"2020-08-12",NULL,"36910558",NULL,"Low"
"2020-08-13",NULL,"36910558",NULL,"Low"
"2020-08-14",NULL,"36910558",NULL,"Low"
"2020-08-15",NULL,"36910558",NULL,"Low"
"2020-08-16",NULL,"36910558",NULL,"Low"
"2020-08-17",NULL,"36910558",NULL,"Low"
"2020-08-18",NULL,"36910558",NULL,"Low"
"2020-08-19",NULL,"36910558",NULL,"Low"
"2020-08-20",NULL,"36910558",NULL,"Low"
"2020-08-21",NULL,"36910558",NULL,"Low"
"2020-08-22",NULL,"36910558",NULL,"Low"
"2020-08-23",NULL,"36910558",NULL,"Low"
"2020-08-24",NULL,"36910558",NULL,"Low"
"2020-08-25",NULL,"36910558",NULL,"Low"
"2020-08-26",NULL,"36910558",NULL,"Low"
"2020-08-27",NULL,"36910558",NULL,"Low"
"2020-08-28",NULL,"36910558",NULL,"Low"
"2020-08-29",NULL,"36910558",NULL,"Low"
"2020-08-30",NULL,"36910558",NULL,"Low"
"2020-08-31",NULL,"36910558",NULL,"Low"
"2020-09-01",NULL,"36910558",NULL,"Low"
"2020-09-02",NULL,"36910558",NULL,"Low"
"2020-09-03",NULL,"36910558",NULL,"Low"
"2020-09-04",NULL,"36910558",NULL,"Low"
"2020-09-05",NULL,"36910558",NULL,"Low"
"2020-09-06",NULL,"36910558",NULL,"Low"
"2020-09-07",NULL,"36910558",NULL,"Low"
"2020-09-08",NULL,"36910558",NULL,"Low"
"2020-09-09",NULL,"36910558",NULL,"Low"
"2020-09-10",NULL,"36910558",NULL,"Low"
"2020-09-11",NULL,"36910558",NULL,"Low"
"2020-09-12",NULL,"36910558",NULL,"Low"
"2020-09-13",NULL,"36910558",NULL,"Low"
"2020-09-14",NULL,"36910558",NULL,"Low"
"2020-09-15",NULL,"36910558",NULL,"Low"
"2020-09-16",NULL,"36910558",NULL,"Low"
"2020-09-17",NULL,"36910558",NULL,"Low"
"2020-09-18",NULL,"36910558",NULL,"Low"
"2020-09-19",NULL,"36910558",NULL,"Low"
"2020-09-20",NULL,"36910558",NULL,"Low"
"2020-09-21",NULL,"36910558",NULL,"Low"
